iter	Logloss
0	0.6868136386
1	0.6798485117
2	0.6729520155
3	0.6669728962
4	0.660785273
5	0.6554567923
6	0.650072654
7	0.6437981914
8	0.6398271929
9	0.6351628278
10	0.6305969445
11	0.6252273768
12	0.6203164574
13	0.6163249491
14	0.612675179
15	0.6078514585
16	0.6033552731
17	0.5984436633
18	0.593518829
19	0.5898024355
20	0.585559191
21	0.5831228972
22	0.5785910284
23	0.5749267386
24	0.5720102553
25	0.567498701
26	0.5638108495
27	0.5608349047
28	0.5568038742
29	0.5526773617
30	0.549690087
31	0.5464402957
32	0.543048573
33	0.5404714355
34	0.5373662269
35	0.5348223844
36	0.5314860894
37	0.5288457504
38	0.5262918707
39	0.5240420272
40	0.5216372368
41	0.5186824655
42	0.5158178553
43	0.513314046
44	0.5106978555
45	0.5085336106
46	0.5063184593
47	0.5046302095
48	0.5018733675
49	0.4991246859
50	0.496597652
51	0.4941120659
52	0.4918684703
53	0.4898799964
54	0.4883137835
55	0.4862173769
56	0.4838029425
57	0.482000381
58	0.4799153231
59	0.4776313928
60	0.4761778041
61	0.4743526789
62	0.4722444906
63	0.4708531283
64	0.469966182
65	0.4683882475
66	0.4667483731
67	0.4654156627
68	0.4643297844
69	0.46351051
70	0.4619136564
71	0.4603906469
72	0.4589482252
73	0.4571285864
74	0.4556547014
75	0.4540674589
76	0.4527676224
77	0.4512046412
78	0.4497637916
79	0.4488314504
80	0.4478237846
81	0.4466837904
82	0.4451967426
83	0.4443231453
84	0.4427918306
85	0.4422625637
86	0.4416049957
87	0.440475168
88	0.4393794616
89	0.4382837174
90	0.4369029956
91	0.4359929267
92	0.4348660779
93	0.433610224
94	0.4325562631
95	0.4313932998
96	0.4304717603
97	0.4295732776
98	0.4285829708
99	0.427451397
100	0.4265706868
101	0.4255835801
102	0.4247498347
103	0.4239693323
104	0.4232155329
105	0.4225429883
106	0.4215914575
107	0.420593895
108	0.4198838735
109	0.419525718
110	0.4185982449
111	0.4180585877
112	0.4177374305
113	0.4168482984
114	0.4164154038
115	0.4157602378
116	0.4152893564
117	0.4147052552
118	0.4140106804
119	0.4132761617
120	0.4125766457
121	0.4119783799
122	0.4113236605
123	0.4106754109
124	0.4100848638
125	0.4095049784
126	0.4087294641
127	0.40817256
128	0.4075815639
129	0.4070019522
130	0.4065073407
131	0.4057542446
132	0.4052934063
133	0.4048015789
134	0.4044946858
135	0.4038217667
136	0.4035102744
137	0.4028448941
138	0.4023872125
139	0.4021258716
140	0.4015932864
141	0.4009061639
142	0.4003170017
143	0.3999289868
144	0.3996869724
145	0.3992813141
146	0.3988265598
147	0.398525654
148	0.398262833
149	0.3979874665
150	0.3974375815
151	0.3972682952
152	0.3968949597
153	0.3966131184
154	0.3961217061
155	0.3956385084
156	0.3954079136
157	0.3950585524
158	0.3946558094
159	0.3941324099
160	0.3937254669
161	0.3933952259
162	0.3930564734
163	0.392764247
164	0.3923391958
165	0.3919129942
166	0.3916321692
167	0.3911511402
168	0.3908028963
169	0.390523582
170	0.3902787515
171	0.3898180129
172	0.3895432435
173	0.389366094
174	0.3889592132
175	0.3886851127
176	0.3884036013
177	0.3881043672
178	0.3879398943
179	0.387695381
180	0.3873910822
181	0.3871188821
182	0.3869035171
183	0.3866946829
184	0.386673344
185	0.3863663832
186	0.3860632763
187	0.3857715521
188	0.3853904663
189	0.385136353
190	0.3848889955
191	0.3845631288
192	0.3843841553
193	0.3842803253
194	0.3841750755
195	0.3839813893
196	0.3837436301
197	0.383623309
198	0.3834190239
199	0.3832745816
200	0.3829873981
201	0.3826505647
202	0.3825571911
203	0.3821951038
204	0.3819751355
205	0.381774662
206	0.3817271557
207	0.3815384187
208	0.3812636079
209	0.3810647848
210	0.3808155455
211	0.3806233274
212	0.3803378444
213	0.3801378463
214	0.3799604049
215	0.3798391424
216	0.3795673992
217	0.3793745461
218	0.3791232834
219	0.3788587357
220	0.3787629324
221	0.3785718227
222	0.3784962409
223	0.3783816894
224	0.3782131438
225	0.3780236794
226	0.3778050748
227	0.3777072192
228	0.3774515502
229	0.377328299
230	0.3771741128
231	0.3768481952
232	0.3767748496
233	0.376494275
234	0.3763347476
235	0.3762142772
236	0.3760143102
